vaga_simplificada,senioridade,nome_empresa,tamanho,tipo_propriedade,industria,setor,receita,cidade,estado,idade_empresa,nota,fg_glassdor_est,fg_por_hora,descricao_qtd_palavras,estatistica,programacao,etl,saas,ferramentas_bi,ml_ai,salario_medio
Data Engineer,Unknown,IntraFi Network,201 to 500 Employees,Company - Private,Financial Transaction Processing,Finance,Unknown,Arlington,VA,19.0,4.9,1,0,171,0,0,0,0,0,0,140000.0
Data Scientist,Unknown,"Entegris, Inc.",1001 to 5000 Employees,Company - Public,Miscellaneous Manufacturing,Manufacturing,$1 to $2 billion (USD),Danbury,CT,55.0,3.8,1,0,151,0,0,0,0,0,0,140000.0
Data Scientist,Senior,Ab Studio Inc.,Unknown,Unknown,Unknown,Unknown,Unknown,Hayward,CA,37.0,4.0,1,0,78,0,0,0,0,0,0,140000.0
Data Scientist,Senior,"Entegris, Inc.",1001 to 5000 Employees,Company - Public,Miscellaneous Manufacturing,Manufacturing,$1 to $2 billion (USD),Ambler,PA,55.0,3.8,1,0,151,0,0,0,0,0,0,140000.0
Data Scientist,Senior,Just - Evotec Biologics,1 to 50 Employees,Company - Private,Unknown,Unknown,$1 to $5 million (USD),Redmond,WA,37.0,4.8,1,0,127,0,0,0,0,0,0,140000.0
Data Scientist,Senior,Just - Evotec Biologics,Unknown,Unknown,Unknown,Unknown,Unknown,Redmond,WA,37.0,4.8,1,0,127,0,0,0,0,0,0,140000.0
Data Scientist,Senior,Flow Health,Unknown,Unknown,Unknown,Unknown,Unknown,Miami,FL,37.0,4.2,1,0,84,0,0,0,0,0,0,140000.0
Data Scientist,Senior,Accenture,Unknown,Unknown,Unknown,Unknown,Unknown,Cincinnati,OH,37.0,4.0,1,0,160,1,0,1,0,0,1,140000.0
Data Scientist,Unknown,TEKsystems,1001 to 5000 Employees,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD),Juno Beach,FL,38.0,3.8,1,0,142,0,1,0,0,0,1,111500.0
Data Scientist,Unknown,Apple,10000+ Employees,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),Austin,TX,45.0,4.3,1,0,164,1,0,0,0,0,1,111500.0
Data Scientist,Senior,Accenture,10000+ Employees,Company - Public,Consulting,Business Services,$10+ billion (USD),Cincinnati,OH,32.0,4.0,1,0,160,1,0,1,0,0,1,111500.0
Data Analyist,Unknown,GTL,1001 to 5000 Employees,Company - Private,Telecommunications Services,Telecommunications,$500 million to $1 billion (USD),Indianapolis,IN,32.0,3.1,1,0,499,1,0,0,1,1,0,111500.0
Data Analyist,Unknown,General Dynamics,10000+ Employees,Subsidiary or Business Segment,IT Services,Information Technology,$2 to $5 billion (USD),Washington,DC,25.0,3.8,1,0,154,0,0,0,0,0,0,111500.0
Data Scientist,Unknown,PPD,10000+ Employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),Providence,RI,36.0,4.0,1,0,117,0,0,0,0,0,0,111500.0
Machine Learning,Unknown,"Physicians Laboratory Services, Inc",Unknown,Unknown,Unknown,Unknown,Unknown,Lincoln,NE,37.0,4.0,1,0,90,0,0,0,0,0,0,111500.0
Data Scientist,Senior,PPD,10000+ Employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),Worcester,MA,36.0,4.0,1,0,70,0,0,0,0,0,0,111500.0
