vaga_simplificada,senioridade,nome_empresa,tamanho,tipo_propriedade,industria,setor,receita,cidade,estado,idade_empresa,nota,fg_glassdor_est,fg_por_hora,descricao_qtd_palavras,estatistica,programacao,etl,saas,ferramentas_bi,ml_ai,salario_medio
Data Engineer,Unknown,Soaren Management,51 to 200 Employees,Company - Private,Lending,Finance,Unknown,Scottsdale,AZ,6.0,4.4,1,0,179,0,0,0,0,1,0,107500.0
Data Engineer,Unknown,"INNOVEX Environmental Management, Inc.",1 to 50 Employees,Company - Private,Unknown,Unknown,$1 to $5 million (USD),Redmond,WA,28.0,4.0,1,0,115,0,0,0,0,0,0,107500.0
Machine Learning,Senior,Black Sesame Technologies Inc,Unknown,Unknown,Unknown,Unknown,Unknown,San Jose,CA,28.0,3.9,1,0,143,0,0,0,0,0,1,107500.0
Data Engineer,Senior,Simplex,1 to 50 Employees,Company - Private,Staffing & Outsourcing,Business Services,Less than $1 million (USD),Austin,TX,9.0,3.9,1,0,141,0,0,0,1,0,0,107500.0
Data Scientist,Unknown,"Phosphorex,Inc",Unknown,Unknown,Unknown,Unknown,Unknown,Hopkinton,MA,28.0,3.9,1,0,110,0,0,0,0,0,0,107500.0
Data Scientist,Unknown,Wipro Limited,10000+ Employees,Company - Public,IT Services,Information Technology,$5 to $10 billion (USD),Louisville,KY,76.0,3.4,1,0,189,0,0,0,0,0,0,107500.0
Data Analyist,Unknown,Uline,5001 to 10000 Employees,Company - Private,Industrial Manufacturing,Manufacturing,$5 to $10 billion (USD),Milwaukee,WI,41.0,3.6,1,0,83,0,0,0,0,1,0,107500.0
Data Engineer,Senior,Density Inc.,1 to 50 Employees,Company - Private,Internet,Information Technology,Unknown,Remote,Na,7.0,4.6,1,0,243,0,0,0,0,0,0,107500.0
Unknown,Mid,Crossfire Consulting Corporation,51 to 200 Employees,Company - Private,Consulting,Business Services,$5 to $10 million (USD),Westborough,MA,28.0,5.0,1,0,164,0,0,0,0,1,0,107500.0
Data Scientist,Senior,"Spangler Environmental, Inc.",Unknown,Unknown,Unknown,Unknown,Unknown,Raleigh,NC,28.0,3.9,1,0,101,0,0,0,0,0,0,107500.0
Data Scientist,Unknown,Absorption Systems,51 to 200 Employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown,San Diego,CA,25.0,3.4,1,0,131,0,0,0,0,0,0,107500.0
Data Scientist,Unknown,Abcam,1001 to 5000 Employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),Waltham,MA,23.0,4.5,1,0,117,0,0,0,0,0,0,107500.0
Data Scientist,Unknown,Fulgent Genetics,51 to 200 Employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown,Temple City,CA,28.0,3.6,1,0,133,0,0,0,0,0,0,107500.0
Data Scientist,Senior,Catalent Pharma Solutions,10000+ Employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD),Winchester,KY,14.0,3.5,1,0,199,0,0,0,0,0,0,107500.0
